letter	frequency
Proteobacteria	470767
Firmicutes	11324
Unknown Bacteria	325068
Actinobacteria	3575
Bacteroidetes	1475718
Cyanobacteria	15
Acidobacteria	38
candidate division TG3	1
Elusimicrobia	9
Tenericutes	12
Spirochaetes	685
Planctomycetes	505
Verrucomicrobia	3
Fusobacteria	3327
Armatimonadetes	6
Chlamydiae	2239
candidate division SR1	7
Thermodesulfobacteria	2
Chloroflexi	83
Caldithrix	1
Lentisphaerae	2
Aquificae	4
Nitrospirae	3
Poribacteria	1
Gemmatimonadetes	10
Deinococcus-Thermus	103
candidate division GN09	1
Chlorobi	17
Microgenomates	1
Fibrobacteres	2
candidate division TM6	1
Omnitrophica	1
Latescibacteria	1
Candidatus Saccharibacteria	1
