a.name,b.name
Acetothermia,Bacteria
Acidobacteria,Bacteria
Actinobacteria,Bacteria
Aerophobetes,Bacteria
Aminicenantes,Bacteria
Aquificae,Bacteria
Armatimonadetes,Bacteria
Atribacteria,Bacteria
Bacteroidetes,Bacteria
Bactoderma,Bacteria
Caldiserica,Bacteria
Caldithrix,Bacteria
Calescamantes,Bacteria
Candidatus Endoecteinascidia,Bacteria
Candidatus Saccharibacteria,Bacteria
Chlamydiae,Bacteria
Chlorobi,Bacteria
Chlorochromatium,Bacteria
Chloroflexi,Bacteria
Chrysiogenetes,Bacteria
Cloacimonetes,Bacteria
Cyanobacteria,Bacteria
Deferribacteres,Bacteria
Deinococcus-Thermus,Bacteria
Dictyoglomi,Bacteria
